Program,buy_date,cohort_start_date,days_to_start,month_sale,month_start,month_diff,null_month,one_month,two_month,three_month,four_month,five_month,six_month,seven_month,eigth_month
FS,14/12/2023,22/01/2024,39,12,1,1,0,1,0,0,0,0,0,0,0
FS,4/01/2024,12/02/2024,39,1,2,1,0,1,0,0,0,0,0,0,0
FS,4/01/2024,12/02/2024,39,1,2,1,0,1,0,0,0,0,0,0,0
FS,14/03/2024,22/04/2024,39,3,4,1,0,1,0,0,0,0,0,0,0
FS,14/03/2024,22/04/2024,39,3,4,1,0,1,0,0,0,0,0,0,0
FS,5/09/2024,14/10/2024,39,9,10,1,0,1,0,0,0,0,0,0,0
FS,19/09/2024,28/10/2024,39,9,10,1,0,1,0,0,0,0,0,0,0
CS,17/10/2024,25/11/2024,39,10,11,1,0,1,0,0,0,0,0,0,0
FS,17/10/2024,25/11/2024,39,10,11,1,0,1,0,0,0,0,0,0,0
FS,2/11/2023,11/12/2023,39,11,12,1,0,1,0,0,0,0,0,0,0
FS,3/11/2023,12/12/2023,39,11,12,1,0,1,0,0,0,0,0,0,0
FS,29/08/2024,7/10/2024,39,8,10,1,0,1,0,0,0,0,0,0,0
FS,29/08/2024,7/10/2024,39,8,10,1,0,1,0,0,0,0,0,0,0
FS,24/10/2024,2/12/2024,39,10,12,1,0,1,0,0,0,0,0,0,0
FS,24/10/2024,2/12/2024,39,10,12,1,0,1,0,0,0,0,0,0,0
DS,31/10/2024,9/12/2024,39,10,12,1,0,1,0,0,0,0,0,0,0
FS,3/01/2024,12/02/2024,40,1,2,1,0,1,0,0,0,0,0,0,0
FS,18/01/2024,27/02/2024,40,1,2,1,0,1,0,0,0,0,0,0,0
FS,3/04/2024,13/05/2024,40,4,5,1,0,1,0,0,0,0,0,0,0
FS,17/04/2024,27/05/2024,40,4,5,1,0,1,0,0,0,0,0,0,0
CS,11/09/2024,21/10/2024,40,9,10,1,0,1,0,0,0,0,0,0,0
FS,18/09/2024,28/10/2024,40,9,10,1,0,1,0,0,0,0,0,0,0
FS,12/10/2023,21/11/2023,40,10,11,1,0,1,0,0,0,0,0,0,0
FS,16/10/2024,25/11/2024,40,10,11,1,0,1,0,0,0,0,0,0,0
FS,16/10/2024,25/11/2024,40,10,11,1,0,1,0,0,0,0,0,0,0
FS,1/11/2023,11/12/2023,40,11,12,1,0,1,0,0,0,0,0,0,0
FS,21/02/2024,1/04/2024,40,2,4,1,0,1,0,0,0,0,0,0,0
FS,27/03/2024,6/05/2024,40,3,5,1,0,1,0,0,0,0,0,0,0
FS,24/04/2024,3/06/2024,40,4,6,1,0,1,0,0,0,0,0,0,0
FS,28/08/2024,7/10/2024,40,8,10,1,0,1,0,0,0,0,0,0,0
FS,28/08/2024,7/10/2024,40,8,10,1,0,1,0,0,0,0,0,0,0
FS,3/01/2023,13/02/2023,41,1,2,1,0,1,0,0,0,0,0,0,0
FS,14/03/2023,24/04/2023,41,3,4,1,0,1,0,0,0,0,0,0,0
FS,5/03/2024,15/04/2024,41,3,4,1,0,1,0,0,0,0,0,0,0
FS,12/03/2024,22/04/2024,41,3,4,1,0,1,0,0,0,0,0,0,0
FS,7/05/2024,17/06/2024,41,5,6,1,0,1,0,0,0,0,0,0,0
